ID DEPATAMENTO,DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS
27,CHOCÓ,27099,BOJAYÁ,27099008,PUERTO CONTO (BOJAYÁ (BELLAVISTA) - CHOCO),2024,06,11489,3514,67.2,Viernes,06/21/2024 08:15:00 PM,8.01
27,CHOCÓ,27250,EL LITORAL DEL SAN JUAN,27250000,SANTA GENOVEVA DE DOCORDO (EL LITORAL DEL SAN JUAN - CHOCÓ),2024,06,31176,14902,253.7,Miércoles,06/05/2024 06:45:00 PM,5.26
27,CHOCÓ,27372,JURADO,27372000,JURADO (JURADO - CHOCÓ),2024,06,168917,56559,308.64,Sábado,06/01/2024 07:00:00 PM,24
27,CHOCÓ,27425,MEDIO ATRATO,27425000,BETE (MEDIO ATRATO - CHOCÓ),2024,06,16199,8094,64,Miércoles,06/19/2024 12:00:00 PM,11.39
27,CHOCÓ,27425,MEDIO ATRATO,27425008,SAN ROQUE (MEDIO ATRATO - CHOCÓ),2024,06,2241,971,20.47,Domingo,06/30/2024 08:15:00 PM,5.08
27,CHOCÓ,27495,NUQUÍ,27495001,ARUSÍ (NUQUÍ - CHOCO),2024,06,18961,7124,60,Sábado,06/01/2024 12:00:00 PM,15.3
27,CHOCÓ,27495,NUQUÍ,27495011,COMUNIDAD DE PUERTO JAGUA (NUQUÍ - CHOCÓ),2024,06,889,411,5.35,Lunes,06/17/2024 06:45:00 PM,7.07
27,CHOCÓ,27495,NUQUÍ,27495912,COMUNIDAD INDÍGENA DE PANGUÍ - EL YUCAL (NUQUÍ - CHOCÓ),2024,06,7888,1820,11.5,Viernes,06/28/2024 07:15:00 AM,23.17
27,CHOCÓ,27495,NUQUÍ,27495000,NUQUÍ (NUQUÍ - CHOCÓ),2024,06,286414,100295,539.26,Sábado,06/01/2024 07:45:00 PM,23.56
27,CHOCÓ,27001,QUIBDÓ,27001029,TAGACHI (QUIBDÓ - CHOCÓ),2024,06,116,31,18.77,Viernes,06/28/2024 03:15:00 PM,0.24
27,CHOCÓ,27615,RIOSUCIO,27615011,SAN JOSE TAMBORAL (RIOSUCIO - CHOCÓ),2024,06,465,176,4.33,Martes,06/18/2024 07:00:00 PM,4.29
27,CHOCÓ,27800,UNGUÍA,27800005,TITUMATE (UNGUÍA - CHOCÓ),2024,06,13024,3367,76.65,Sábado,06/01/2024 09:45:00 PM,7.26
27,CHOCÓ,27800,UNGUÍA,27800000,UNGUÍA (UNGUÍA - CHOCÓ),2024,06,453004,145637,957.79,Viernes,06/07/2024 08:15:00 PM,22.15
94,GUAINÍA,94343,BARRANCO MINAS,94343000,BARRANCO MINAS (BARRANCO MINAS - GUAINÍA),2024,06,87380,28373,234.28,Martes,06/25/2024 05:30:00 PM,16.11
94,GUAINÍA,94001,INÍRIDA,94001905,CHORRO BOCON (INÍRIDA - GUAINÍA),2024,06,5482,444,19.1,Viernes,06/14/2024 07:15:00 PM,15.59
94,GUAINÍA,94001,INÍRIDA,94001000,INÍRIDA (INÍRIDA - GUAINÍA),2024,06,2088662,580002,4099.04,Martes,06/18/2024 02:30:00 PM,24
